,AQ,ADF,EIDIG,AQ_H,ADF_H,EIDIG_H,AQ_S,ADF_S,EIDIG_S,AQ_L,ADF_L,EIDIG_L
0,21.844,20.375,19.584,19.329,24.95,22.362,19.061,17.968,18.437,21.782,20.748,21.102
1,21.541,20.007,19.507,20.421,18.697,25.758,17.203,18.425,17.647,19.382,17.579,16.01
2,21.92,20.776,19.01,19.308,23.091,20.554,18.609,17.359,19.16,21.665,20.794,17.604
3,21.807,20.6,18.026,20.815,24.842,19.236,17.291,17.752,18.907,20.743,16.08,19.778
4,21.724,20.612,19.072,19.765,22.324,20.949,17.422,18.118,18.677,21.087,21.111,16.034
5,22.463,20.12,19.011,19.836,21.489,19.923,18.71,18.08,18.34,17.06,17.225,17.992
6,22.139,20.34,19.192,19.348,19.321,23.652,18.788,17.572,19.114,16.47,21.135,18.203
7,22.062,20.974,19.034,21.872,18.888,24.984,17.855,18.015,18.897,21.922,19.169,17.683
8,21.741,20.088,18.943,19.843,21.807,25.605,18.445,17.496,18.866,16.065,19.879,16.79
9,21.61,20.923,19.21,25.552,22.063,18.053,18.888,17.669,18.404,16.276,17.049,21.82
